Name of Earth Meteorite,id,nametype,recclass,mass,year,reclat,reclong,point coordinates
Kuznetzovo,12385,Valid,L6,4047.0,1932-01-01,55.2,75.33333,"[55.2, 75.33333]"
Kyushu,12390,Valid,L6,45000.0,1886-01-01,32.03333,130.63333,"[32.03333, 130.63333]"
La Bécasse,12392,Valid,L6,2800.0,1879-01-01,47.08333,1.75,"[47.08333, 1.75]"
La Charca,12394,Valid,OC,399.0,1878-01-01,20.66667,-101.28333,"[20.66667, -101.28333]"
La Colina,12395,Valid,H5,2000.0,1924-01-01,-37.33333,-61.53333,"[-37.33333, -61.53333]"
La Criolla,12396,Valid,L6,45000.0,1985-01-01,-31.23333,-58.16667,"[-31.23333, -58.16667]"
Laborel,12408,Valid,H5,3833.0,1871-01-01,44.28333,5.58333,"[44.28333, 5.58333]"
Lahrauli,12433,Valid,Ureilite,900.0,1955-01-01,26.78333,82.71667,"[26.78333, 82.71667]"
L'Aigle,12434,Valid,L6,37000.0,1803-01-01,48.76667,0.63333,"[48.76667, 0.63333]"
Cumulus Hills 04075,32531,Valid,Pallasite,9.6,2003-01-01,0.0,0.0,"[0.0, 0.0]"
Lakangaon,12435,Valid,Eucrite-mmict,212.5,1910-01-01,21.86667,76.03333,"[21.86667, 76.03333]"
Lalitpur,12451,Valid,L6,372.0,1887-01-01,24.45,78.56667,"[24.45, 78.56667]"
Lancé,12455,Valid,CO3.5,51700.0,1872-01-01,47.7,1.06667,"[47.7, 1.06667]"
Lancon,12456,Valid,H6,7000.0,1897-01-01,43.75,5.11667,"[43.75, 5.11667]"
Långhalsen,12461,Valid,L6,2300.0,1947-01-01,58.85,16.73333,"[58.85, 16.73333]"
Lanxi,12464,Valid,L6,1282.0,1986-01-01,46.24167,126.19611,"[46.24167, 126.19611]"
Lanzenkirchen,12465,Valid,L4,7000.0,1925-01-01,47.75,16.23333,"[47.75, 16.23333]"
Laochenzhen,12466,Valid,H5,14250.0,1987-01-01,33.13333,115.16667,"[33.13333, 115.16667]"
Launton,12740,Valid,L6,1060.0,1830-01-01,51.9,-1.11667,"[51.9, -1.11667]"
Lavrentievka,12743,Valid,L6,800.0,1938-01-01,52.45,51.56667,"[52.45, 51.56667]"
Le Pressoir,12748,Valid,H5,3000.0,1845-01-01,47.16667,0.43333,"[47.16667, 0.43333]"
Le Teilleul,12749,Valid,Howardite,780.0,1845-01-01,48.53333,-0.86667,"[48.53333, -0.86667]"
Leedey,12755,Valid,L6,51500.0,1943-01-01,35.88333,-99.33333,"[35.88333, -99.33333]"
Leeuwfontein,12756,Valid,L6,460.0,1912-01-01,-25.66667,28.36667,"[-25.66667, 28.36667]"
Leighlinbridge,12759,Valid,L6,271.4,1999-01-01,52.66667,-6.96667,"[52.66667, -6.96667]"
Leighton,12760,Valid,H5,877.0,1907-01-01,34.58333,-87.5,"[34.58333, -87.5]"
Leonovka,12765,Valid,L6,700.0,1900-01-01,52.26667,32.85,"[52.26667, 32.85]"
Les Ormes,12769,Valid,L6,125.0,1857-01-01,48.35,3.25,"[48.35, 3.25]"
Lesves,12772,Valid,L6,2000.0,1896-01-01,50.36667,4.73333,"[50.36667, 4.73333]"
Lichtenberg,14646,Valid,H6,4000.0,1973-01-01,-26.15,26.18333,"[-26.15, 26.18333]"
Lillaverke,14650,Valid,H5,6862.0,1930-01-01,56.65,15.86667,"[56.65, 15.86667]"
Limerick,14652,Valid,H5,50000.0,1813-01-01,52.56667,-8.78333,"[52.56667, -8.78333]"
Linum,14655,Valid,L6,1862.0,1854-01-01,52.75,12.9,"[52.75, 12.9]"
Lishui,14659,Valid,L5,498.0,1978-01-01,31.63333,118.98333,"[31.63333, 118.98333]"
Lissa,14661,Valid,L6,12800.0,1808-01-01,50.2,14.85,"[50.2, 14.85]"
Little Piney,14664,Valid,L5,491.0,1839-01-01,37.91667,-92.08333,"[37.91667, -92.08333]"
Lixna,14670,Valid,H4,5213.0,1820-01-01,56.0,26.43333,"[56.0, 26.43333]"
Lodran,14675,Valid,Lodranite,1000.0,1868-01-01,29.53333,71.8,"[29.53333, 71.8]"
Lohawat,14678,Valid,Howardite,40000.0,1994-01-01,26.96556,72.62667,"[26.96556, 72.62667]"
Lorton,52843,Valid,L6,329.7,2010-01-01,38.70066,-77.21163,"[38.70066, -77.21163]"
Los Martinez,14708,Valid,L6,25.0,1894-01-01,38.0,-0.83333,"[38.0, -0.83333]"
Lost City,14711,Valid,H5,17000.0,1970-01-01,36.00833,-95.15,"[36.00833, -95.15]"
Louisville,14716,Valid,L6,1300.0,1977-01-01,38.25,-85.75,"[38.25, -85.75]"
Łowicz,14718,Valid,Mesosiderite-A3,59000.0,1935-01-01,52.0,19.91667,"[52.0, 19.91667]"
Lua,14721,Valid,L5,9241.0,1926-01-01,24.95,75.15,"[24.95, 75.15]"
Lucé,14724,Valid,L6,3500.0,1768-01-01,47.85,0.48333,"[47.85, 0.48333]"
Lumpkin,14753,Valid,L6,340.0,1869-01-01,32.03333,-84.76667,"[32.03333, -84.76667]"
Lunan,14754,Valid,H6,2520.0,1980-01-01,24.8,103.3,"[24.8, 103.3]"
Lundsgård,14755,Valid,L6,11000.0,1889-01-01,56.21667,13.03333,"[56.21667, 13.03333]"
Luotolax,14756,Valid,Howardite,885.0,1813-01-01,61.2,27.7,"[61.2, 27.7]"
Luponnas,14757,Valid,H3-5,14000.0,1753-01-01,46.21667,5.0,"[46.21667, 5.0]"
