Name of Earth Meteorite,id,nametype,recclass,mass,year,reclat,reclong,point coordinates
Nogata,16988,Valid,L6,472.0,0861-01-01,33.725,130.75,"[33.725, 130.75]"
Nogoya,16989,Valid,CM2,4000.0,1879-01-01,-32.36667,-59.83333,"[-32.36667, -59.83333]"
Norfork,16994,Valid,"Iron, IIIAB",1050.0,1918-01-01,36.21667,-92.26667,"[36.21667, -92.26667]"
Norton County,17922,Valid,Aubrite,1100000.0,1948-01-01,39.68333,-99.86667,"[39.68333, -99.86667]"
Noventa Vicentina,17930,Valid,H4,177.0,1971-01-01,45.29167,11.52722,"[45.29167, 11.52722]"
Novo-Urei,17933,Valid,Ureilite,1900.0,1886-01-01,54.81667,46.0,"[54.81667, 46.0]"
Novy-Ergi,17934,Valid,Stone-uncl,,1662-01-01,58.55,31.33333,"[58.55, 31.33333]"
Novy-Projekt,17935,Valid,OC,1001.0,1908-01-01,56.0,22.0,"[56.0, 22.0]"
Noyan-Bogdo,17936,Valid,L6,250.0,1933-01-01,42.91667,102.46667,"[42.91667, 102.46667]"
Nuevo Mercurio,17938,Valid,H5,50000.0,1978-01-01,24.3,-102.13333,"[24.3, -102.13333]"
Nulles,17959,Valid,H6,5000.0,1851-01-01,41.63333,0.75,"[41.63333, 0.75]"
Numakai,17960,Valid,H4,363.0,1925-01-01,43.33333,141.86667,"[43.33333, 141.86667]"
Nyaung,17969,Valid,"Iron, IIIAB",737.6,1939-01-01,21.20833,94.91667,"[21.20833, 94.91667]"
Nyirábrany,17970,Valid,LL5,1100.0,1914-01-01,47.55,22.025,"[47.55, 22.025]"
Ochansk,17979,Valid,H4,500000.0,1887-01-01,57.78333,55.26667,"[57.78333, 55.26667]"
Oesede,17988,Valid,H5,1400.0,1927-01-01,52.28333,8.05,"[52.28333, 8.05]"
Oesel,17989,Valid,L6,6000.0,1855-01-01,58.5,23.0,"[58.5, 23.0]"
Ofehértó,17990,Valid,L6,3750.0,1900-01-01,47.88333,22.03333,"[47.88333, 22.03333]"
Ogi,17994,Valid,H6,14360.0,1741-01-01,33.28333,130.2,"[33.28333, 130.2]"
Ohaba,17995,Valid,H5,16250.0,1857-01-01,46.06667,23.58333,"[46.06667, 23.58333]"
Ohuma,17996,Valid,L5,7700.0,1963-01-01,6.75,8.5,"[6.75, 8.5]"
Ojuelos Altos,17997,Valid,L6,5850.0,1926-01-01,38.18333,-5.4,"[38.18333, -5.4]"
Okabe,17998,Valid,H5,194.0,1958-01-01,36.18333,139.21667,"[36.18333, 139.21667]"
Okano,18000,Valid,"Iron, IIAB",4742.0,1904-01-01,35.08333,135.2,"[35.08333, 135.2]"
Okniny,18002,Valid,LL6,12000.0,1834-01-01,50.83333,25.5,"[50.83333, 25.5]"
Oldenburg (1930),18009,Valid,L6,16570.0,1930-01-01,52.95,8.16667,"[52.95, 8.16667]"
Oliva-Gandia,18012,Valid,Stone-uncl,,1520-01-01,39.0,-0.03333,"[39.0, -0.03333]"
Olivenza,18013,Valid,LL5,150000.0,1924-01-01,38.71667,-7.06667,"[38.71667, -7.06667]"
Olmedilla de Alarcón,18015,Valid,H5,40000.0,1929-01-01,39.56667,-2.1,"[39.56667, -2.1]"
Omolon,18019,Valid,"Pallasite, PMG",250000.0,1981-01-01,64.02,161.80833,"[64.02, 161.80833]"
Orgueil,18026,Valid,CI1,14000.0,1864-01-01,43.88333,1.38333,"[43.88333, 1.38333]"
Orlando,34489,Valid,Eucrite,180.0,2004-01-01,28.5475,-81.36222,"[28.5475, -81.36222]"
Ornans,18030,Valid,CO3.4,6000.0,1868-01-01,47.11667,6.15,"[47.11667, 6.15]"
Ortenau,18033,Valid,Stone-uncl,4500.0,1671-01-01,48.5,8.0,"[48.5, 8.0]"
Orvinio,18034,Valid,H6,3400.0,1872-01-01,42.13333,12.93333,"[42.13333, 12.93333]"
Oterøy,18042,Valid,L6,246.0,1928-01-01,58.88333,9.4,"[58.88333, 9.4]"
Otomi,18045,Valid,H,6510.0,1867-01-01,38.4,140.35,"[38.4, 140.35]"
Ottawa,18046,Valid,LL6,840.0,1896-01-01,38.6,-95.21667,"[38.6, -95.21667]"
Ouadangou,56729,Valid,L5,4440.0,2003-01-01,12.9,0.08,"[12.9, 0.08]"
Oued el Hadjar,18050,Valid,LL6,1215.5,1986-01-01,30.18,-6.57717,"[30.18, -6.57717]"
Oum Dreyga,31282,Valid,H3-5,17000.0,2003-01-01,24.3,-13.1,"[24.3, -13.1]"
Ourique,18052,Valid,H4,20000.0,1998-01-01,37.60833,-8.28,"[37.60833, -8.28]"
Ovambo,18055,Valid,L6,121.5,1900-01-01,-18.0,16.0,"[-18.0, 16.0]"
Oviedo,18058,Valid,H5,205.0,1856-01-01,43.4,-5.86667,"[43.4, -5.86667]"
Owrucz,18062,Valid,OC,,1775-01-01,51.33333,28.83333,"[51.33333, 28.83333]"
Pacula,18068,Valid,L6,3400.0,1881-01-01,21.05,-99.3,"[21.05, -99.3]"
Padvarninkai,18069,Valid,Eucrite-mmict,3858.0,1929-01-01,55.66667,25.0,"[55.66667, 25.0]"
Paitan,18072,Valid,H6,515.0,1910-01-01,17.74333,120.45583,"[17.74333, 120.45583]"
Palahatchie,18073,Valid,OC,,1910-01-01,32.31667,-89.71667,"[32.31667, -89.71667]"
Palca de Aparzo,18074,Valid,L5,1430.0,1988-01-01,-23.11667,-65.1,"[-23.11667, -65.1]"
Palinshih,18077,Valid,Iron,18000.0,1914-01-01,43.48333,118.61667,"[43.48333, 118.61667]"
Palmyra,18079,Valid,L3,135.0,1926-01-01,39.8,-91.5,"[39.8, -91.5]"
Palolo Valley,18082,Valid,H5,682.0,1949-01-01,21.3,-157.78333,"[21.3, -157.78333]"
Dominion Range 03239,32591,Valid,L6,69.5,2002-01-01,0.0,0.0,"[0.0, 0.0]"
Pampanga,18093,Valid,L5,10500.0,1859-01-01,15.08333,120.7,"[15.08333, 120.7]"
Pantar,18098,Valid,H5,2130.0,1938-01-01,8.06667,124.28333,"[8.06667, 124.28333]"
Paragould,18101,Valid,LL5,408000.0,1930-01-01,36.06667,-90.5,"[36.06667, -90.5]"
Parambu,18102,Valid,LL5,2000.0,1967-01-01,-6.23333,-40.7,"[-6.23333, -40.7]"
Paranaiba,18103,Valid,L6,100000.0,1956-01-01,-19.13333,-51.66667,"[-19.13333, -51.66667]"
Park Forest,18106,Valid,L5,18000.0,2003-01-01,41.48472,-87.67917,"[41.48472, -87.67917]"
Parnallee,18108,Valid,LL3.6,77600.0,1857-01-01,9.23333,78.35,"[9.23333, 78.35]"
Parsa,18109,Valid,EH3,800.0,1942-01-01,26.2,85.4,"[26.2, 85.4]"
Pasamonte,18110,Valid,Eucrite-pmict,5100.0,1933-01-01,36.21667,-103.4,"[36.21667, -103.4]"
Patora,18112,Valid,H6,4375.0,1969-01-01,20.93694,82.05,"[20.93694, 82.05]"
Patrimonio,18116,Valid,L6,2121.0,1950-01-01,-19.53333,-48.56667,"[-19.53333, -48.56667]"
Patti,18118,Valid,Iron,12.0,1922-01-01,38.13333,14.96667,"[38.13333, 14.96667]"
Patwar,18171,Valid,Mesosiderite-A1,37350.0,1935-01-01,23.15,91.18333,"[23.15, 91.18333]"
Pavel,18173,Valid,H5,2968.0,1966-01-01,43.46667,25.51667,"[43.46667, 25.51667]"
Pavlodar (stone),18175,Valid,H5,142.5,1938-01-01,52.3,77.03333,"[52.3, 77.03333]"
Pavlograd,18176,Valid,L6,40000.0,1826-01-01,48.53333,35.98333,"[48.53333, 35.98333]"
Pavlovka,18177,Valid,Howardite,2000.0,1882-01-01,52.03333,43.0,"[52.03333, 43.0]"
Pê,18179,Valid,L6,,1989-01-01,11.33367,-3.54217,"[11.33367, -3.54217]"
Peace River,18180,Valid,L6,45760.0,1963-01-01,56.13333,-117.93333,"[56.13333, -117.93333]"
Peckelsheim,18181,Valid,Diogenite-pm,117.8,1953-01-01,51.66667,9.25,"[51.66667, 9.25]"
Peekskill,18782,Valid,H6,12570.0,1992-01-01,41.28333,-73.91667,"[41.28333, -73.91667]"
Peña Blanca Spring,18786,Valid,Aubrite,70000.0,1946-01-01,30.125,-103.11667,"[30.125, -103.11667]"
Peramiho,18792,Valid,Eucrite-mmict,165.0,1899-01-01,-10.66667,35.5,"[-10.66667, 35.5]"
Perpeti,18793,Valid,L6,23474.0,1935-01-01,23.325,91.0,"[23.325, 91.0]"
Perth,18797,Valid,LL5,2.0,1830-01-01,56.4,-3.43333,"[56.4, -3.43333]"
Pervomaisky,18798,Valid,L6,66000.0,1933-01-01,56.63333,39.43333,"[56.63333, 39.43333]"
Pesyanoe,18799,Valid,Aubrite,3393.0,1933-01-01,55.5,66.08333,"[55.5, 66.08333]"
Pétèlkolé,18800,Valid,H5,189.0,1995-01-01,14.052,0.42,"[14.052, 0.42]"
Petersburg,18801,Valid,Eucrite-pmict,1800.0,1855-01-01,35.3,-86.63333,"[35.3, -86.63333]"
Pettiswood,18804,Valid,Stone-uncl,,1779-01-01,53.53333,-7.33333,"[53.53333, -7.33333]"
Phillips County (stone),18808,Valid,L6,57900.0,1901-01-01,40.0,-99.25,"[40.0, -99.25]"
Phu Hong,18809,Valid,H4,500.0,1887-01-01,11.25,108.58333,"[11.25, 108.58333]"
Phum Sambo,18811,Valid,H4,7800.0,1933-01-01,12.0,105.48333,"[12.0, 105.48333]"
Phuoc-Binh,18812,Valid,L5,11000.0,1941-01-01,15.71667,108.1,"[15.71667, 108.1]"
Piancaldoli,18813,Valid,LL3.4,13.1,1968-01-01,44.24417,11.50222,"[44.24417, 11.50222]"
Picote,18816,Valid,Stone-uncl,,1843-01-01,41.36667,-6.23333,"[41.36667, -6.23333]"
Pillistfer,18822,Valid,EL6,23250.0,1863-01-01,58.66667,25.73333,"[58.66667, 25.73333]"
Piplia Kalan,18831,Valid,Eucrite-mmict,42000.0,1996-01-01,26.03472,73.94167,"[26.03472, 73.94167]"
Piquetberg,18832,Valid,H,37.0,1881-01-01,-32.86667,18.71667,"[-32.86667, 18.71667]"
Pirgunje,18834,Valid,L6,842.0,1882-01-01,25.8,88.45,"[25.8, 88.45]"
Pirthalla,18835,Valid,H6,1161.0,1884-01-01,29.58333,76.0,"[29.58333, 76.0]"
Pitts,18837,Valid,"Iron, IAB-ung",3760.0,1921-01-01,31.95,-83.51667,"[31.95, -83.51667]"
Plantersville,18846,Valid,H6,2085.0,1930-01-01,30.7,-96.11667,"[30.7, -96.11667]"
Pleşcoi,51706,Valid,L5-6,6913.0,2008-01-01,45.275,26.70972,"[45.275, 26.70972]"
Ploschkovitz,18849,Valid,L5,39.0,1723-01-01,50.53333,14.11667,"[50.53333, 14.11667]"
Pnompehn,18851,Valid,L6,96.0,1868-01-01,11.58333,104.91667,"[11.58333, 104.91667]"
Dominion Range 03240,32592,Valid,LL5,290.9,2002-01-01,0.0,0.0,"[0.0, 0.0]"
Pohlitz,18853,Valid,L5,3000.0,1819-01-01,50.93333,12.13333,"[50.93333, 12.13333]"
Pokhra,18858,Valid,H5,350.0,1866-01-01,26.71667,82.66667,"[26.71667, 82.66667]"
Pollen,18860,Valid,CM2,253.6,1942-01-01,66.34833,14.015,"[66.34833, 14.015]"
Pontlyfni,18865,Valid,Winonaite,157.0,1931-01-01,53.03639,-4.31944,"[53.03639, -4.31944]"
Portales Valley,18874,Valid,H6,71400.0,1998-01-01,34.175,-103.295,"[34.175, -103.295]"
Portugal,18876,Valid,Stone-uncl,4500.0,1796-01-01,38.5,-8.0,"[38.5, -8.0]"
Po-wang Chen,18879,Valid,LL,665.0,1933-01-01,31.41667,118.5,"[31.41667, 118.5]"
Prambachkirchen,18883,Valid,L6,2125.0,1932-01-01,48.3025,13.94083,"[48.3025, 13.94083]"
Pribram,18887,Valid,H5,5555.0,1959-01-01,49.66667,14.03333,"[49.66667, 14.03333]"
Pricetown,18888,Valid,L6,900.0,1893-01-01,39.11667,-83.85,"[39.11667, -83.85]"
Puerto Lápice,45984,Valid,Eucrite-br,500.0,2007-01-01,39.35,-3.51667,"[39.35, -3.51667]"
Pulsora,18899,Valid,H5,560.0,1863-01-01,23.36667,75.18333,"[23.36667, 75.18333]"
Pultusk,18901,Valid,H5,250000.0,1868-01-01,52.76667,21.26667,"[52.76667, 21.26667]"
Punganaru,18902,Valid,Stone-uncl,100.0,1811-01-01,13.33333,78.95,"[13.33333, 78.95]"
Putinga,18905,Valid,L6,300000.0,1937-01-01,-29.03333,-53.05,"[-29.03333, -53.05]"
Qidong,18907,Valid,L/LL5,1275.0,1982-01-01,32.08333,121.5,"[32.08333, 121.5]"
Qingzhen,18908,Valid,EH3,2600.0,1976-01-01,26.53333,106.46667,"[26.53333, 106.46667]"
Queen's Mercy,22357,Valid,H6,7000.0,1925-01-01,-30.11667,28.7,"[-30.11667, 28.7]"
Quenggouk,22358,Valid,H4,6045.0,1857-01-01,17.76667,95.18333,"[17.76667, 95.18333]"
Quesa,22360,Valid,"Iron, IAB-ung",10750.0,1898-01-01,39.0,-0.66667,"[39.0, -0.66667]"
Quija,22361,Valid,H,17450.0,1990-01-01,44.61667,126.13333,"[44.61667, 126.13333]"
Quincay,22363,Valid,L6,65.0,1851-01-01,46.6,0.25,"[46.6, 0.25]"
Raco,22368,Valid,H5,5000.0,1957-01-01,-26.66667,-65.45,"[-26.66667, -65.45]"
Raghunathpura,22371,Valid,"Iron, IIAB",10200.0,1986-01-01,27.72528,76.465,"[27.72528, 76.465]"
Rahimyar Khan,31302,Valid,L5,67225.0,1983-01-01,28.225,70.2,"[28.225, 70.2]"
Rakovka,22376,Valid,L6,9000.0,1878-01-01,52.98333,37.03333,"[52.98333, 37.03333]"
Ramnagar,22384,Valid,L6,3766.0,1940-01-01,26.45,82.9,"[26.45, 82.9]"
Rampurhat,22385,Valid,LL,100.0,1916-01-01,24.16667,87.76667,"[24.16667, 87.76667]"
Ramsdorf,22386,Valid,L6,4682.0,1958-01-01,51.88333,6.93333,"[51.88333, 6.93333]"
Ranchapur,22387,Valid,H4,290.4,1917-01-01,23.98333,87.08333,"[23.98333, 87.08333]"
Rancho de la Presa,22390,Valid,H5,300.0,1899-01-01,19.86667,-100.81667,"[19.86667, -100.81667]"
Rangala,22392,Valid,L6,3224.5,1937-01-01,25.38333,72.01667,"[25.38333, 72.01667]"
Raoyang,22394,Valid,L6,4910.0,1919-01-01,38.2,115.7,"[38.2, 115.7]"
Ras Tanura,22395,Valid,H6,6.1,1961-01-01,26.66667,50.15,"[26.66667, 50.15]"
Rasgrad,22396,Valid,Stone-uncl,24700.0,1740-01-01,43.5,26.53333,"[43.5, 26.53333]"
Ratyn,22398,Valid,Stone-uncl,910.0,1880-01-01,52.2,17.98333,"[52.2, 17.98333]"
Red Canyon Lake,53502,Valid,H5,18.41,2007-01-01,38.13742,-119.75812,"[38.13742, -119.75812]"
Reliegos,22584,Valid,L5,17300.0,1947-01-01,42.475,-5.33333,"[42.475, -5.33333]"
Rembang,22585,Valid,"Iron, IVA",10000.0,1919-01-01,-6.73333,111.36667,"[-6.73333, 111.36667]"
Renazzo,22586,Valid,CR2,1000.0,1824-01-01,44.76667,11.28333,"[44.76667, 11.28333]"
Renca,22587,Valid,L5,300.0,1925-01-01,-32.75,-65.28333,"[-32.75, -65.28333]"
Renqiu,22589,Valid,L6,355.0,1916-01-01,38.66667,116.13333,"[38.66667, 116.13333]"
Repeev Khutor,22590,Valid,"Iron, IIF",7000.0,1933-01-01,48.6,45.66667,"[48.6, 45.66667]"
Revelstoke,22592,Valid,CI1,1.0,1965-01-01,51.33333,-118.95,"[51.33333, -118.95]"
Rewari,22593,Valid,L6,3332.0,1929-01-01,28.2,76.66667,"[28.2, 76.66667]"
Rich Mountain,22597,Valid,L6,668.0,1903-01-01,35.03333,-83.03333,"[35.03333, -83.03333]"
Uzcudun,24140,Valid,L,20000.0,1948-01-01,-44.11667,-66.15,"[-44.11667, -66.15]"
Richardton,22599,Valid,H5,90000.0,1918-01-01,46.88333,-102.31667,"[46.88333, -102.31667]"
Richland Springs,22602,Valid,OC,1900.0,1980-01-01,31.25,-99.03333,"[31.25, -99.03333]"
Richmond,22603,Valid,LL5,1800.0,1828-01-01,37.46667,-77.5,"[37.46667, -77.5]"
Rio Negro,22611,Valid,L4,1310.0,1934-01-01,-26.1,-49.8,"[-26.1, -49.8]"
Rivolta de Bassi,22614,Valid,Stone-uncl,103.3,1491-01-01,45.48333,9.51667,"[45.48333, 9.51667]"
Rochester,22637,Valid,H6,340.0,1876-01-01,41.08333,-86.28333,"[41.08333, -86.28333]"
Rockhampton,22640,Valid,Stone-uncl,1641.0,1895-01-01,-23.38333,150.51667,"[-23.38333, 150.51667]"
Roda,22641,Valid,Diogenite,400.0,1871-01-01,42.3,0.55,"[42.3, 0.55]"
Rodach,22642,Valid,Stone-uncl,2900.0,1775-01-01,50.35,10.8,"[50.35, 10.8]"
Rose City,22766,Valid,H5,10600.0,1921-01-01,44.51667,-83.95,"[44.51667, -83.95]"
Rowton,22773,Valid,"Iron, IIIAB",3500.0,1876-01-01,52.76667,-2.51667,"[52.76667, -2.51667]"
Ruhobobo,22780,Valid,L6,465.5,1976-01-01,-1.45,29.83333,"[-1.45, 29.83333]"
Rumuruti,22782,Valid,R3.8-6,67.0,1934-01-01,0.26667,36.53333,"[0.26667, 36.53333]"
Rupota,22783,Valid,L4-6,6000.0,1949-01-01,-10.26667,38.76667,"[-10.26667, 38.76667]"
Ryechki,22791,Valid,L5,13000.0,1914-01-01,51.13333,34.5,"[51.13333, 34.5]"
Sabetmahet,22792,Valid,H5,1250.0,1855-01-01,27.43333,82.08333,"[27.43333, 82.08333]"
Sabrum,22793,Valid,LL6,478.0,1999-01-01,23.08333,91.66667,"[23.08333, 91.66667]"
Sagan,22796,Valid,Stone-uncl,,1636-01-01,51.53333,14.88333,"[51.53333, 14.88333]"
Saint-Sauveur,23101,Valid,EH5,14000.0,1914-01-01,43.73333,1.38333,"[43.73333, 1.38333]"
Saint-Séverin,23102,Valid,LL6,271000.0,1966-01-01,45.3,0.23333,"[45.3, 0.23333]"
Sakauchi,23103,Valid,Iron,4180.0,1913-01-01,35.66667,136.3,"[35.66667, 136.3]"
Salem,23107,Valid,L6,61.4,1981-01-01,44.97917,-122.96944,"[44.97917, -122.96944]"
Salles,23111,Valid,L5,9000.0,1798-01-01,46.05,4.63333,"[46.05, 4.63333]"
Salzwedel,23114,Valid,LL5,43.0,1985-01-01,52.75,11.05,"[52.75, 11.05]"
Samelia,23115,Valid,"Iron, IIIAB",2462.0,1921-01-01,25.66667,74.86667,"[25.66667, 74.86667]"
San Juan Capistrano,23128,Valid,H6,56.0,1973-01-01,33.48472,-117.6625,"[33.48472, -117.6625]"
San Michele,31315,Valid,L6,237.0,2002-01-01,43.66667,13.0,"[43.66667, 13.0]"
San Pedro de Quiles,23130,Valid,L6,282.0,1956-01-01,-31.01667,-71.4,"[-31.01667, -71.4]"
San Pedro Jacuaro,34063,Valid,LL6,460.0,1968-01-01,19.76667,-100.65,"[19.76667, -100.65]"
Santa Barbara,23161,Valid,L4,400.0,1873-01-01,-29.2,-51.86667,"[-29.2, -51.86667]"
Santa Cruz,23164,Valid,CM2,60.0,1939-01-01,24.16667,-99.33333,"[24.16667, -99.33333]"
Santa Isabel,23165,Valid,L6,5500.0,1924-01-01,-33.9,-61.7,"[-33.9, -61.7]"
Santa Lucia (2008),50909,Valid,L6,4000.0,2008-01-01,-31.535556,-68.489444,"[-31.535556, -68.489444]"
São Jose do Rio Preto,23171,Valid,H4,927.0,1962-01-01,-20.81,-49.38056,"[-20.81, -49.38056]"
Saratov,23176,Valid,L4,200000.0,1918-01-01,52.55,46.55,"[52.55, 46.55]"
Sasagase,23187,Valid,H,695.0,1688-01-01,34.71667,137.78333,"[34.71667, 137.78333]"
Sauguis,23188,Valid,L6,4000.0,1868-01-01,43.15,-0.85,"[43.15, -0.85]"
Savtschenskoje,23190,Valid,LL4,2500.0,1894-01-01,47.21667,29.86667,"[47.21667, 29.86667]"
Sayama,23192,Valid,CM2,430.0,1986-01-01,35.86667,139.4,"[35.86667, 139.4]"
Sazovice,23455,Valid,L5,412.0,1934-01-01,49.23333,17.56667,"[49.23333, 17.56667]"
Schellin,23457,Valid,L,7000.0,1715-01-01,53.35,15.05,"[53.35, 15.05]"
Schenectady,23458,Valid,H5,283.3,1968-01-01,42.86083,-73.95028,"[42.86083, -73.95028]"
Schönenberg,23460,Valid,L6,8000.0,1846-01-01,48.11667,10.46667,"[48.11667, 10.46667]"
Searsmont,23472,Valid,H5,5400.0,1871-01-01,44.36667,-69.2,"[44.36667, -69.2]"
Sediköy,23473,Valid,L6,240.0,1917-01-01,38.3,27.13333,"[38.3, 27.13333]"
Segowlie,23476,Valid,LL6,6930.0,1853-01-01,26.75,84.78333,"[26.75, 84.78333]"
Selakopi,23481,Valid,H5,1590.0,1939-01-01,-7.23333,107.33333,"[-7.23333, 107.33333]"
Seldebourak,23483,Valid,H5,150.0,1947-01-01,22.83333,4.98333,"[22.83333, 4.98333]"
Semarkona,23487,Valid,LL3.00,691.0,1940-01-01,22.25,79.0,"[22.25, 79.0]"
Sena,23495,Valid,H4,4000.0,1773-01-01,41.71667,-0.05,"[41.71667, -0.05]"
Senboku,23496,Valid,H6,866.0,1993-01-01,39.43833,140.51167,"[39.43833, 140.51167]"
Seoni,23500,Valid,H6,20000.0,1966-01-01,21.68389,79.50083,"[21.68389, 79.50083]"
Seres,23501,Valid,H4,8500.0,1818-01-01,41.05,23.56667,"[41.05, 23.56667]"
Serra de Magé,23502,Valid,Eucrite-cm,1800.0,1923-01-01,-8.38333,-36.76667,"[-8.38333, -36.76667]"
Sete Lagoas,23504,Valid,H4,350.0,1908-01-01,-19.46667,-44.21667,"[-19.46667, -44.21667]"
Sevilla,23508,Valid,LL4,180.0,1862-01-01,37.41667,-6.0,"[37.41667, -6.0]"
Sevrukovo,23509,Valid,L5,101000.0,1874-01-01,50.61667,36.6,"[50.61667, 36.6]"
Sfax,23512,Valid,L6,7000.0,1989-01-01,34.75,10.71667,"[34.75, 10.71667]"
Shalka,23521,Valid,Diogenite,4000.0,1850-01-01,23.1,87.3,"[23.1, 87.3]"
Sharps,23525,Valid,H3.4,1265.0,1921-01-01,37.83333,-76.7,"[37.83333, -76.7]"
Shelburne,23529,Valid,L5,18600.0,1904-01-01,44.05,-80.16667,"[44.05, -80.16667]"
Shergotty,23530,Valid,Martian (shergottite),5000.0,1865-01-01,24.55,84.83333,"[24.55, 84.83333]"
Sheyang,23531,Valid,L6,605.0,1976-01-01,33.65,120.06667,"[33.65, 120.06667]"
Shikarpur,23534,Valid,L6,3679.7,1921-01-01,25.85,87.5775,"[25.85, 87.5775]"
Shuangyang,23582,Valid,H5,3900.0,1971-01-01,43.5,125.66667,"[43.5, 125.66667]"
Shupiyan,23583,Valid,H6,5000.0,1912-01-01,33.71667,74.83333,"[33.71667, 74.83333]"
Shytal,23584,Valid,L6,3200.0,1863-01-01,24.33333,90.16667,"[24.33333, 90.16667]"
Siena,23586,Valid,LL5,3700.0,1794-01-01,43.11667,11.6,"[43.11667, 11.6]"
Sikhote-Alin,23593,Valid,"Iron, IIAB",23000000.0,1947-01-01,46.16,134.65333,"[46.16, 134.65333]"
Silao,23594,Valid,H5,1710.0,1995-01-01,20.93333,-101.38333,"[20.93333, -101.38333]"
Silistra,55584,Valid,Achondrite-ung,0.15,1917-01-01,44.11667,27.26667,"[44.11667, 27.26667]"
Simmern,23603,Valid,H5,1222.0,1920-01-01,49.98333,7.53333,"[49.98333, 7.53333]"
Sinai,23606,Valid,L6,1455.0,1916-01-01,30.9,32.48333,"[30.9, 32.48333]"
Sindhri,23611,Valid,H5,8400.0,1901-01-01,26.21667,69.55,"[26.21667, 69.55]"
Sinnai,23613,Valid,H6,2000.0,1956-01-01,39.3,9.2,"[39.3, 9.2]"
Sioux County,23614,Valid,Eucrite-mmict,4100.0,1933-01-01,42.58333,-103.66667,"[42.58333, -103.66667]"
Sitathali,23616,Valid,H5,1600.0,1875-01-01,20.91667,82.58333,"[20.91667, 82.58333]"
Sivas,23617,Valid,H6,40000.0,1989-01-01,39.82467,36.13583,"[39.82467, 36.13583]"
Sixiangkou,23619,Valid,L5,630.0,1989-01-01,32.43333,119.86667,"[32.43333, 119.86667]"
Ski,23621,Valid,L6,850.0,1848-01-01,59.73333,10.86667,"[59.73333, 10.86667]"
Slavetic,23626,Valid,H5,1708.0,1868-01-01,45.68333,15.6,"[45.68333, 15.6]"
Slobodka,23645,Valid,L4,2750.0,1818-01-01,55.0,35.0,"[55.0, 35.0]"
Soheria,23660,Valid,OC,72.9,1960-01-01,27.13333,84.06667,"[27.13333, 84.06667]"
Soko-Banja,23661,Valid,LL4,80000.0,1877-01-01,43.66667,21.86667,"[43.66667, 21.86667]"
Sologne,23663,Valid,H5,54.0,1860-01-01,47.36667,1.73333,"[47.36667, 1.73333]"
Sołtmany,53829,Valid,L6,1066.0,2011-01-01,54.00883,22.005,"[54.00883, 22.005]"
Sone,23667,Valid,H5,17100.0,1866-01-01,35.16667,135.33333,"[35.16667, 135.33333]"
Songyuan,23668,Valid,L6,36900.0,1993-01-01,45.25,125.0,"[45.25, 125.0]"
Sopot,23670,Valid,OC,958.0,1927-01-01,44.41667,23.5,"[44.41667, 23.5]"
Soroti,23671,Valid,"Iron, ungrouped",2050.0,1945-01-01,1.7,33.63333,"[1.7, 33.63333]"
St. Caprais-de-Quinsac,23081,Valid,L6,360.0,1883-01-01,44.75,0.05,"[44.75, 0.05]"
St. Christophe-la-Chartreuse,23082,Valid,L6,5500.0,1841-01-01,46.95,-1.5,"[46.95, -1.5]"
St. Denis Westrem,23083,Valid,L6,700.0,1855-01-01,51.05,3.75,"[51.05, 3.75]"
St. Germain-du-Pinel,23087,Valid,H6,4000.0,1890-01-01,48.01667,-1.15,"[48.01667, -1.15]"
St. Louis,23089,Valid,H4,1000.0,1950-01-01,38.7,-90.23333,"[38.7, -90.23333]"
St. Mark's,23090,Valid,EH5,13780.0,1903-01-01,-32.01667,27.41667,"[-32.01667, 27.41667]"
St. Mary's County,23091,Valid,LL3.3,24.3,1919-01-01,38.16667,-76.38333,"[38.16667, -76.38333]"
St. Mesmin,23092,Valid,LL6,8300.0,1866-01-01,48.45,3.93333,"[48.45, 3.93333]"
St. Michel,23093,Valid,L6,17000.0,1910-01-01,61.65,27.2,"[61.65, 27.2]"
St.-Chinian,23097,Valid,L6,134.3,1959-01-01,43.43333,2.95,"[43.43333, 2.95]"
Ställdalen,23712,Valid,H5,34000.0,1876-01-01,59.93333,14.95,"[59.93333, 14.95]"
Stannern,23713,Valid,Eucrite-mmict,52000.0,1808-01-01,49.28333,15.56667,"[49.28333, 15.56667]"
Stavropol,23717,Valid,L6,1500.0,1857-01-01,45.05,41.98333,"[45.05, 41.98333]"
Ste. Marguerite,23099,Valid,H4,4960.0,1962-01-01,50.76667,3.0,"[50.76667, 3.0]"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000.0,1990-01-01,53.66667,55.98333,"[53.66667, 55.98333]"
Stolzenau,23726,Valid,Stone-uncl,,1647-01-01,52.53333,9.05,"[52.53333, 9.05]"
Stratford,23728,Valid,L6,50.0,1974-01-01,41.2,-73.13333,"[41.2, -73.13333]"
Strathmore,23729,Valid,L6,13400.0,1917-01-01,56.58333,-3.25,"[56.58333, -3.25]"
Stretchleigh,23732,Valid,Stone-uncl,10400.0,1623-01-01,50.38333,-3.95,"[50.38333, -3.95]"
St-Robert,23733,Valid,H5,25400.0,1994-01-01,45.96861,-72.97806,"[45.96861, -72.97806]"
Success,23736,Valid,L6,3500.0,1924-01-01,36.48333,-90.66667,"[36.48333, -90.66667]"
Suchy Dul,23737,Valid,L6,815.3,1969-01-01,50.53806,16.26333,"[50.53806, 16.26333]"
